"ParticipantId","Condition","Type1","Type2"
"AA0176","VR Monitor",71338.3819,68146.1078
"AA0876","VR",30057.271,25248.8725
"AA1078","VR Monitor Stereo",34637.2859,36943.6338
"AA1358","VR Monitor",91624.6566,110915.5504
"AA3083","VR Monitor",52720.7605,21072.09395
"AA4432","VR Monitor",17268.7172,28706.35755
"AA6335","VR Monitor",43249.5922,77210.9192
"AA7062","VR",46387.6041,44762.9524
"AA7736","VR Monitor Stereo",43159.6702,41193.714
"AA9060","VR",46979.502,34140.678
"AA9143","VR Monitor",59188.0563,128987.4503
"AC8975","VR Monitor",81650.3685,71491.6653
"AC9337","VR Monitor Stereo",138804.0094,83945.71005
"AE1290","VR Monitor Stereo",22406.652,72262.40745
"AE2314","VR Monitor Stereo",63142.6277,76479.4015
"AE2423","VR Monitor Stereo",60495.009,35955.5261
"AE2567","VR Monitor",35797.7759,62840.9087
"AE4411","VR",47705.1997,36865.4937
"AE7022","VR",47348.083,43237.8172
"AE7577","VR Monitor Stereo",25992.0908,65739.2249
"AE8118","VR",152779.0624,145485.2563
"AH8153","VR",33564.1733,63722.9453
"AI9736","VR Monitor Stereo",25552.1316,12476.16365
"AL7521","VR Monitor Stereo",64773.1739,59053.99805
"AM6705","VR",23845.6389,34089.3643
"AN7725","VR",45360.417,16425.0941
"AO0649","VR",52422.4921,67275.41805
"AO1417","VR",25667.7435,76903.0098
"AO5595","VR",34380.5962,77137.08355
"AO7880","VR",80990.8875,130501.15265
"AO8017","VR Monitor",66279.2032,88402.07385
"AR0044","VR",29923.2215,59087.64145
"AR7862","VR Monitor",70313.97,57612.83165
"AR9449","VR",50912.0381,70407.9101
"AR9517","VR Monitor Stereo",31934.3965,32855.8304
"AU9914","VR",63675.4797,38457.3073
"CA0406","VR",30996.1069,26036.1694
"CC7455","VR Monitor",77705.1221,74842.1721
"DA6527","VR Monitor Stereo",51524.164,23321.8823
"DR3453","VR Monitor Stereo",33955.5445,26053.57855
"EA4759","VR Monitor Stereo",31341.6734,37575.1722
"EA4934","VR Monitor Stereo",7046.683,19474.2463
"EA8619","VR",46822.8993,39942.26995
"EA9314","VR",13278.7304,15062.27315
"EB2765","VR",NA,122045.899
"EE4432","VR",89592.3163,26583.80755
"EI3019","VR",112979.3372,181674.9673
"EM8130","VR Monitor",59531.8128,51891.31955
"EN3309","VR",21869.3089,11476.97405
"EN5709","VR",68423.4739,60913.73055
"EO9447","VR Monitor",19445.284,52889.307
"ER1898","VR Monitor Stereo",53501.0133,112724.3275
"ER2155","VR",45873.5014,32973.0174
"ER7876","VR Monitor",33720.7913,42964.4773
"HA0288","VR Monitor",112834.244,134762.8186
"HA1682","VR Monitor Stereo",33230.1155,56244.9606
"HA3649","VR Monitor",NA,32810.85075
"HC1197","VR Monitor",35140.0449,27108.6587
"HH7776","VR Monitor",49883.7773,29873.47365
"HU2032","VR Monitor",21702.9087,45460.874
"HY4562","VR Monitor Stereo",37195.2865,49001.39635
"IA2513","VR Monitor Stereo",68458.8533,37641.90375
"IB9297","VR",38100.0937,95053.5113
"IE3923","VR Monitor",35821.2344,55440.56435
"IE8843","VR Monitor Stereo",45303.6314,38657.99255
"II3615","VR Monitor Stereo",NA,44019.21805
"II6040","VR",50039.9358,185132.6007
"II7116","VR Monitor",49235.1135,39222.46935
"IK0518","VR Monitor",40900.6307,97266.14815
"IL8872","VR Monitor",72201.4287,22155.2911
"IO2253","VR Monitor",59679.34,26695.25605
"IR0779","VR Monitor",12218.8621,27097.54135
"IR1101","VR Monitor",31989.9112,50430.87495
"LA0250","VR",138135.8153,86096.016
"LA2620","VR",55297.8921,66197.30535
"LE1476","VR Monitor Stereo",24729.8028,29800.9553
"LE9083","VR Monitor",85581.8421,43690.2338
"LI5910","VR",58775.4475,25304.5524
"LL5887","VR",113237.4224,78969.97135
"LO3861","VR Monitor Stereo",47158.5266,37686.40465
"MA1301","VR",99084.841,24438.70985
"MO2873","VR Monitor",42980.1561,44259.55875
"MU0632","VR Monitor",46343.2364,36653.75145
"MU9517","VR Monitor Stereo",33933.9612,25555.8791
"OA0505","VR Monitor Stereo",18262.707,20127.6561
"OA0701","VR Monitor Stereo",56395.6477,76953.34205
"OA2385","VR Monitor Stereo",33207.6441,48895.35865
