"ParticipantId","Condition","Type1","Type2"
"AA0176","VR Monitor",5833.8545,17314.1031
"AA0876","VR",8342.9881,8763.514
"AA1078","VR Monitor Stereo",5239.5687,8802.5656
"AA1358","VR Monitor",8812.3182,18223.7736
"AA3083","VR Monitor",3507.8607,7584.69455
"AA4432","VR Monitor",4668.2306,16570.4799
"AA6335","VR Monitor",7439.4687,9326.22755
"AA7062","VR",3518.6585,2669.154
"AA7736","VR Monitor Stereo",2870.7091,7188.27015
"AA9060","VR",6099.3206,5942.21235
"AA9143","VR Monitor",8802.5631,30505.32
"AC8975","VR Monitor",6468.1481,17860.72165
"AC9337","VR Monitor Stereo",20318.8258,10684.3436
"AE1290","VR Monitor Stereo",3652.7763,13018.6975
"AE2314","VR Monitor Stereo",6948.5264,6819.12075
"AE2423","VR Monitor Stereo",2926.4298,5495.5303
"AE2567","VR Monitor",4926.6829,8606.911
"AE4411","VR",2190.179,3982.65255
"AE7022","VR",4714.9556,11778.67765
"AE7577","VR Monitor Stereo",3976.629,16420.25615
"AE8118","VR",3642.4979,9656.92205
"AH8153","VR",5049.0586,27885.5954
"AI9736","VR Monitor Stereo",3333.0872,11957.7098
"AL7521","VR Monitor Stereo",5954.57,13566.34495
"AM6705","VR",7842.8546,49370.7991
"AN7725","VR",4244.7369,10997.02295
"AO0649","VR",41603.494,17480.8989
"AO1417","VR",4590.794,11656.01445
"AO5595","VR",5149.4454,9394.10645
"AO7880","VR",2313.2709,4747.6767
"AO8017","VR Monitor",8106.4492,9968.74975
"AR0044","VR",2882.1916,17028.7508
"AR7862","VR Monitor",3820.4321,11164.37825
"AR9449","VR",3250.3535,11538.77225
"AR9517","VR Monitor Stereo",8969.1601,7271.88565
"AU9914","VR",8949.3634,8589.29045
"CA0406","VR",3507.5706,8238.3166
"CC7455","VR Monitor",6772.6112,11075.7405
"DA6527","VR Monitor Stereo",10902.9442,5177.9635
"DR3453","VR Monitor Stereo",4022.0853,10600.4883
"EA4759","VR Monitor Stereo",2714.73,5110.0915
"EA4934","VR Monitor Stereo",15829.1417,6015.308
"EA8619","VR",4368.9042,4837.0822
"EA9314","VR",6682.286,4636.06815
"EB2765","VR",NA,6590.8821
"EE4432","VR",4468.1229,9181.59895
"EI3019","VR",25422.9382,16620.3223
"EM8130","VR Monitor",6658.262,9424.94565
"EN3309","VR",4412.7592,6891.4177
"EN5709","VR",9312.2374,7584.8208
"EO9447","VR Monitor",3675.6918,30638.80575
"ER1898","VR Monitor Stereo",9797.2997,14380.78265
