"ParticipantId","Condition","Type1","Type2"
"AA0176","VR Monitor",0.25,1
"AA0876","VR",0,0.25
"AA1078","VR Monitor Stereo",0,0
"AA1358","VR Monitor",0,0.25
"AA3083","VR Monitor",1,0.375
"AA4432","VR Monitor",1,1
"AA6335","VR Monitor",1,0
"AA7062","VR",0.75,0.25
"AA7736","VR Monitor Stereo",1,0.5
"AA9060","VR",0,0.5
"AA9143","VR Monitor",0,0
"AC8975","VR Monitor",0.5,0
"AC9337","VR Monitor Stereo",0.25,0
"AE1290","VR Monitor Stereo",1,0.5
"AE2314","VR Monitor Stereo",0,0.5
"AE2423","VR Monitor Stereo",0,0
"AE2567","VR Monitor",1,0.5
"AE4411","VR",0,0.25
"AE7022","VR",0.5,0
"AE7577","VR Monitor Stereo",0.25,0
"AE8118","VR",1,0.875
"AH8153","VR",0,0
"AI9736","VR Monitor Stereo",1,0.125
"AL7521","VR Monitor Stereo",1,0.25
"AM6705","VR",0.75,0.375
"AN7725","VR",0.25,0
"AO0649","VR",0.25,0
"AO1417","VR",0.5,0
"AO5595","VR",0.5,0.125
"AO7880","VR",0.5,0.5
"AO8017","VR Monitor",0.5,0.125
"AR0044","VR",0.5,1
"AR7862","VR Monitor",0,0
"AR9449","VR",0,1
"AR9517","VR Monitor Stereo",1,0.25
"AU9914","VR",0,0.25
"CA0406","VR",1,0.75
"CC7455","VR Monitor",1,0.375
"DA6527","VR Monitor Stereo",0.25,0.375
"DR3453","VR Monitor Stereo",1,0.5
"EA4759","VR Monitor Stereo",1,1
"EA4934","VR Monitor Stereo",0,0
"EA8619","VR",1,0.5
"EA9314","VR",1,1
"EB2765","VR",NA,0
"EE4432","VR",0.5,0.5
"EI3019","VR",1,0
"EM8130","VR Monitor",1,0.75
"EN3309","VR",0,0
"EN5709","VR",1,0.25
"EO9447","VR Monitor",0,0
"ER1898","VR Monitor Stereo",0.5,0
"ER2155","VR",1,0
"ER7876","VR Monitor",0.5,0
"HA0288","VR Monitor",0.5,0.625
"HA1682","VR Monitor Stereo",0,0
"HA3649","VR Monitor",NA,0.5
"HC1197","VR Monitor",0,0
"HH7776","VR Monitor",0,0
"HU2032","VR Monitor",0,0
"HY4562","VR Monitor Stereo",0.25,0.25
"IA2513","VR Monitor Stereo",1,0.25
"IB9297","VR",1,0
"IE3923","VR Monitor",0.5,0.5
"IE8843","VR Monitor Stereo",0.5,1
"II3615","VR Monitor Stereo",NA,0
"II6040","VR",0.5,0
"II7116","VR Monitor",0.5,0.5
"IK0518","VR Monitor",0.75,0.5
"IL8872","VR Monitor",1,1
"IO2253","VR Monitor",1,0.5
"IR0779","VR Monitor",0,0
"IR1101","VR Monitor",0.5,1
"LA0250","VR",1,0
"LA2620","VR",0.5,0
"LE1476","VR Monitor Stereo",1,0.625
"LE9083","VR Monitor",0,0
"LI5910","VR",0.25,0
"LL5887","VR",0,0.25
"LO3861","VR Monitor Stereo",1,0.25
"MA1301","VR",0,0
"MO2873","VR Monitor",1,1
"MU0632","VR Monitor",0.25,0
"MU9517","VR Monitor Stereo",1,0.75
"OA0505","VR Monitor Stereo",1,0.125
"OA0701","VR Monitor Stereo",1,0.5
"OA2385","VR Monitor Stereo",0.5,0
"OA5003","VR",0,0.125
"OA8593","VR",0,0.25
"OA9699","VR Monitor",0,0
"OI0406","VR Monitor Stereo",0,0
"OI7107","VR",0,0
"OO1638","VR Monitor",0.5,0
"OO3782","VR",0.5,0
"OO7105","VR Monitor",0.5,0
"PO0892","VR",1,0
"RA5840","VR Monitor Stereo",0,0
"RA7601","VR Monitor",0.5,0
"RA8589","VR",1,0.75
"RG8876","VR",1,0.625
"RI5022","VR",1,1
"RL2345","VR",0,0.25
"RL9680","VR Monitor",0,0
"RR2012","VR Monitor",0,0
"RS1080","VR",1,1
"SC0288","VR Monitor Stereo",0.5,0
"SI4816","VR",1,0.75
"SI9216","VR Monitor Stereo",1,1
"SU6398","VR",0,0
"UA7716","VR Monitor Stereo",0.5,0
"UG4668","VR",0,0.25
"UI1542","VR Monitor",0.5,0.5
"UI1985","VR",1,0.375
"UK0825","VR",0,0.25
"UO5311","VR",1,0.875
"YA9918","VR",0,0.25
"YB5143","VR Monitor",0,0
"YE7121","VR Monitor Stereo",0.75,0.5
"YI8949","VR",1,1
"YO1643","VR Monitor",0.5,0
"YO8153","VR Monitor",0,0
"hr4364","VR Monitor Stereo",0.5,0.25
